,CO,NO2,NOx,O3,PM10,SO2
2024-07-13,337.53162,6.849448,9.529952,78.59148,16.639343,0.7237837
2024-07-14,344.2465,6.6953773,9.205389,78.43227,16.333197,0.89008266
2024-07-15,353.42303,8.699365,12.4741335,74.475235,17.961258,0.90908545
2024-07-16,349.0272,8.102588,12.001055,75.01645,17.422197,0.92135745
2024-07-17,348.1585,8.568046,12.02535,74.65117,17.445099,0.86996657
2024-07-18,345.266,9.170405,13.196944,75.24682,17.550858,0.6902404
2024-07-19,337.94733,8.236774,11.311279,75.68275,17.301088,0.7579246
2024-07-20,326.02924,6.249105,9.868894,76.507256,16.688282,0.7150808
2024-07-21,327.65305,5.9659247,8.124792,76.07114,14.750199,0.6756783
2024-07-22,351.5861,8.18044,11.053678,74.55675,17.155842,0.9508956
2024-07-23,373.62128,7.806493,10.60188,73.3188,17.490908,0.874698
2024-07-24,383.47418,8.042223,10.995355,73.12571,16.85315,1.0514066
2024-07-25,375.48083,8.25069,10.453235,72.928345,18.12798,1.0042882
2024-07-26,359.28265,9.055274,10.245733,74.82733,17.497047,1.1067103
2024-07-27,353.10773,6.3909287,8.61034,74.48407,15.939429,1.0974963
2024-07-28,388.5232,5.0526924,7.7581863,67.81713,14.988428,1.1563596
2024-07-29,394.36725,7.5450273,10.134729,70.80385,16.636911,1.2491684
2024-07-30,405.70645,7.9152293,9.842607,69.29177,16.60464,1.1311924
2024-07-31,379.39813,10.5016985,13.090879,66.21254,17.674416,0.92841524
2024-08-01,416.91418,7.4667616,11.115439,66.94622,16.737192,1.0545381
2024-08-02,410.28293,10.554167,14.070995,66.62134,17.670576,0.9881453
2024-08-03,386.94977,8.384613,11.316153,65.274956,15.857406,0.99310946
2024-08-04,369.8973,6.984425,7.45759,65.28238,13.428101,1.1652668
2024-08-05,383.08798,9.175922,11.492234,65.64286,17.10495,1.0738769
2024-08-06,340.93628,9.930574,13.740109,64.730064,15.835252,1.0296
2024-08-07,329.24014,9.609993,11.715068,65.865295,15.356628,1.150005
2024-08-08,328.58475,9.928441,12.002486,63.11302,17.453283,1.063021
2024-08-09,326.00208,10.314038,13.662265,63.738655,17.865171,1.072355
2024-08-10,330.26492,9.168863,12.753707,68.231255,18.662006,1.0069753
2024-08-11,314.18445,10.139787,13.461618,69.86374,16.868639,0.96418357
2024-08-12,312.9744,9.849596,11.736082,70.275375,18.86557,1.3721431
2024-08-13,318.08032,9.849596,11.915864,68.92188,19.487148,1.2575036
2024-08-14,311.77502,10.340146,13.413054,66.167114,19.999022,1.1540852
2024-08-15,318.3614,10.848348,12.969571,66.0255,20.27952,1.027342
2024-08-16,315.15515,10.093252,12.674108,64.9473,19.673378,1.0768732
2024-08-17,303.2689,9.193279,12.437506,67.78897,18.912828,1.0570643
2024-08-18,294.45438,8.922939,11.375982,68.39242,17.873251,0.96991354
2024-08-19,308.11227,9.662232,13.628489,66.89258,18.84396,1.1412215
2024-08-20,288.96317,9.64976,13.221017,66.74082,19.350548,1.2003276
2024-08-21,288.70825,10.32469,13.74542,69.82662,20.468744,1.112521
2024-08-22,285.81573,10.212731,13.613679,70.57416,20.433477,1.0741047
2024-08-23,279.29993,9.441554,12.648333,71.27804,20.297304,1.1286527
2024-08-24,279.744,9.589231,13.195533,71.84525,21.375341,1.3326305
2024-08-25,278.83917,9.161659,12.138224,73.4112,21.155499,1.26634
2024-08-26,285.60458,10.821607,12.64774,71.99013,21.01643,1.5122305
2024-08-27,287.1509,10.622115,12.59851,70.03987,20.885115,1.3463901
2024-08-28,309.96344,11.257693,14.394234,69.071846,21.724396,1.2929355
2024-08-29,335.3092,12.6433115,15.7674675,68.43385,21.70994,1.2997291
2024-08-30,338.33588,12.672981,15.0858755,65.49334,19.079718,1.3257864
2024-08-31,260.46973,12.985925,22.073948,57.256344,21.780275,1.4471128
2024-09-01,380.15894,8.6005535,13.271245,60.864525,13.298744,1.0724735
2024-09-02,390.2499,11.969305,20.352278,60.830357,17.189053,1.3986924
2024-09-03,389.56342,11.404226,16.007849,60.368908,17.4472,1.1270243
2024-09-04,384.1485,12.378153,15.828662,61.79314,14.192507,1.0769913
2024-09-05,387.74225,14.846451,16.978453,61.22661,16.376902,1.1432161
2024-09-06,377.1734,14.945932,19.594408,57.923855,17.148237,1.1193784
2024-09-07,373.6282,9.05258,16.463339,59.372894,16.588282,1.1215942
2024-09-08,366.55872,10.606944,14.589454,58.714397,16.222857,1.0645521
2024-09-09,365.59988,12.318624,17.470945,54.68166,16.865286,1.1791891
2024-09-10,357.9333,12.545846,16.283955,59.743774,17.806307,1.2622074
2024-09-11,349.50302,12.447263,15.897378,60.35963,18.40162,1.2100414
2024-09-12,347.91257,12.561719,14.904728,63.772057,20.12814,1.3383317
2024-09-13,354.6453,12.701155,14.991002,62.00574,20.008255,1.3285398
2024-09-14,363.26083,10.814405,14.231811,61.466084,19.59961,1.3567313
2024-09-15,357.89108,10.034822,14.049766,57.42018,18.107645,1.1631149
2024-09-16,362.65118,12.829124,18.380882,52.984016,18.793306,1.4342422
2024-09-17,364.64282,12.920539,17.306242,55.484913,18.871363,1.4210058
2024-09-18,358.04578,12.665491,18.708666,55.372353,18.77904,1.2269038
2024-09-19,340.19894,11.748176,15.649191,56.009262,18.179125,1.260309
2024-09-20,323.90967,11.691451,14.34371,57.043015,18.089808,1.4517535
2024-09-21,317.4797,9.50881,14.044132,58.050446,19.349257,1.5170014
2024-09-22,317.87723,8.950138,12.716354,59.752758,16.071877,1.1267669
2024-09-23,357.0988,12.752728,16.26805,63.021732,18.559536,1.3528937
2024-09-24,373.80664,13.018626,15.795841,62.6799,19.912493,1.3905467
2024-09-25,354.78467,13.29801,15.27638,61.65366,19.974726,1.2767975
2024-09-26,337.11932,12.858301,15.833809,62.00792,20.876892,1.2622052
2024-09-27,330.36847,13.222309,15.328463,62.240967,20.014807,1.3476496
2024-09-28,332.4734,8.694227,14.2704115,62.822453,18.510939,1.5788364
2024-09-29,352.20508,10.142238,14.061171,58.71298,16.882698,1.4316083
2024-09-30,348.27383,10.398071,11.674162,61.20657,15.875559,1.8941909
2024-10-01,261.17694,12.597664,17.054586,51.77337,17.633894,1.0035297
2024-10-02,244.24416,14.109276,17.490215,53.951508,16.492105,1.0662496
2024-10-03,256.70642,15.327821,16.456987,53.58807,17.871155,1.1408075
2024-10-04,238.1165,15.818021,21.394701,54.003506,17.254776,1.2225848
2024-10-05,253.23479,10.224402,13.494226,61.23453,15.475517,1.286501
2024-10-06,278.03162,9.365397,11.233781,63.81503,10.318045,1.109612
2024-10-07,322.33832,16.053926,23.60022,39.805744,18.111225,1.0797937
2024-10-08,289.62894,15.870439,22.802486,40.825546,18.076038,1.0980027
2024-10-09,309.94122,16.257635,22.256002,39.39275,18.485916,1.2031885
2024-10-10,322.77985,16.629566,22.011759,41.943478,20.256458,1.3406875
2024-10-11,308.27213,16.45585,20.78111,46.503418,20.297153,1.4324456
2024-10-12,313.35867,13.3393755,17.462847,59.052013,20.4597,1.5209309
2024-10-13,337.00177,14.443479,16.19635,57.220287,20.067614,1.3845284
2024-10-14,402.93646,17.63483,27.463717,39.651062,21.784502,2.171427
2024-10-15,402.9575,18.870737,28.491678,37.504375,21.082129,1.8390263
2024-10-16,403.16003,17.653008,29.778427,35.341534,19.707123,1.6504503
2024-10-17,364.66916,16.954874,29.988834,36.55795,19.866335,1.791254
2024-10-18,353.29782,17.885883,28.220163,41.00474,23.106602,1.8856504
2024-10-19,333.9989,11.577621,13.786819,45.11098,24.456837,1.8966273
2024-10-20,322.44437,11.327609,10.016937,47.731937,23.710072,2.3879652
2024-10-21,365.1238,17.482843,29.038603,37.915134,23.831758,2.1626754
2024-10-22,366.25842,16.866276,24.03014,40.365627,21.285622,1.8105974
2024-10-23,367.34674,15.863583,20.381027,39.31808,20.453362,1.6402335
2024-10-24,362.48056,15.558882,21.11059,40.00045,20.068583,1.607433
2024-10-25,342.30054,15.436541,16.568863,43.970203,20.343517,1.866134
2024-10-26,332.4174,10.57727,13.45697,50.328648,24.639193,1.839876
2024-10-27,339.60864,10.307258,11.379033,49.538155,23.324986,1.7196828
2024-10-28,359.30594,17.117613,27.587536,43.123524,19.403103,1.9710205
2024-10-29,355.9068,15.896731,19.262167,45.438316,18.695246,1.8508626
2024-10-30,369.2705,15.918326,20.352846,47.28804,17.852781,2.0925114
2024-10-31,312.34756,13.712017,19.013885,49.123123,18.667894,2.036378
2024-11-01,355.0914,14.754411,18.362757,46.39281,17.005621,1.1312548
2024-11-02,341.4384,11.748174,13.147727,37.320038,15.6374,1.1853914
2024-11-03,326.42535,9.745304,8.234627,42.920067,12.174266,1.203944
2024-11-04,350.43854,13.288268,15.5736065,44.740566,16.299839,1.2497265
2024-11-05,345.77377,14.153601,20.09328,40.387215,16.879118,1.2301079
2024-11-06,383.45032,15.727346,25.476618,35.76668,15.3609705,1.1809045
2024-11-07,428.72717,15.383386,22.51203,34.058475,16.574932,1.2795154
2024-11-08,425.152,15.493126,26.503332,33.996258,16.951017,1.2820536
2024-11-09,394.64755,15.175547,21.452892,36.67538,16.832232,1.3492104
2024-11-10,391.08337,13.266259,13.845829,39.196884,16.889734,1.34179
2024-11-11,425.62582,16.311527,20.560791,35.062634,17.614819,1.3308775
2024-11-12,417.9415,16.378288,20.032764,37.012302,19.176397,1.6217121
2024-11-13,446.50754,16.149824,19.740377,35.221504,16.612898,1.4460318
2024-11-14,515.6223,16.23227,21.435633,34.91836,16.319756,1.6200278
2024-11-15,491.3585,16.177572,21.237793,35.28695,14.990083,1.353329
2024-11-16,479.6305,13.044187,19.727974,33.343178,14.65519,1.3208808
2024-11-17,456.0539,12.806721,15.180155,31.985756,13.919074,1.3617357
2024-11-18,550.78534,16.362612,30.54553,31.517757,19.534199,1.5475578
2024-11-19,529.53174,15.956573,29.395203,32.2332,18.909195,1.6348559
2024-11-20,497.5601,16.825205,22.437716,31.292019,15.767309,1.7633355
2024-11-21,477.6282,15.591483,19.548532,33.99473,15.425163,1.9548751
2024-11-22,439.5946,13.484197,14.630386,44.808636,11.743754,1.5224092
2024-11-23,399.96677,10.23182,10.376141,46.07974,9.224755,1.3893213
2024-11-24,414.20428,11.371759,12.339822,40.104477,8.405317,1.3320787
2024-11-25,496.08337,17.137928,18.66975,37.292645,14.35303,1.5910459
2024-11-26,500.32602,16.50537,23.475874,38.451126,14.688094,1.5380424
2024-11-27,514.72015,15.50089,21.564247,32.024044,13.216879,1.4027603
2024-11-28,541.76337,14.876701,18.581455,34.50794,13.407526,1.5816189
2024-11-29,558.4326,16.378464,22.90427,34.67767,16.885971,1.5841105
2024-11-30,567.0413,14.325505,19.081974,34.784283,16.157871,2.0611165
2024-12-01,826.71564,13.820013,27.00598,30.694052,15.247745,1.584324
2024-12-02,771.68054,17.961506,36.13266,30.522547,17.666939,1.7623013
2024-12-03,756.1039,18.033754,32.19647,28.747248,20.279087,1.5805161
2024-12-04,802.86816,19.94796,38.768757,29.325138,18.317999,1.5922196
2024-12-05,876.33215,23.75299,34.872467,27.167925,20.211298,1.5076938
2024-12-06,887.0767,24.006641,37.960114,23.533154,20.331667,1.5238206
2024-12-07,868.11017,15.532627,27.021801,26.492584,18.378744,1.5515125
2024-12-08,867.3035,14.046927,21.075674,28.022076,15.887066,1.6374955
2024-12-09,871.29004,20.131016,31.797508,21.311485,21.767656,1.7874622
2024-12-10,836.29956,17.20173,28.583141,26.867094,16.335684,1.7519338
2024-12-11,851.47235,17.988316,27.004438,27.168322,14.204738,1.7793434
2024-12-12,857.9236,18.050354,24.742842,29.548697,16.365725,1.6140301
2024-12-13,873.3811,16.624023,24.837439,30.047878,15.531503,1.6199856
2024-12-14,925.2175,14.340928,24.708763,32.205524,14.714653,1.7768786
2024-12-15,924.30005,11.615686,18.097736,30.682419,14.2369995,1.9517698
2024-12-16,1121.6223,19.691072,43.656013,25.28135,27.065813,2.430687
2024-12-17,1120.1583,19.68622,42.896675,24.835192,27.460373,2.5462651
2024-12-18,1135.6383,20.988337,49.34215,23.599815,33.58756,2.8081894
2024-12-19,1180.8666,20.03433,42.51543,23.374054,24.281172,2.6986809
2024-12-20,1034.298,20.044523,38.17014,32.450237,22.133854,2.8432963
2024-12-21,967.7646,15.991757,31.494041,38.28126,18.084362,2.2563868
2024-12-22,898.016,13.992386,26.000027,55.908638,10.830562,1.5556988
2024-12-23,979.07666,17.08861,32.761543,49.63918,16.84647,1.8418994
2024-12-24,993.3316,17.953611,33.429756,47.64769,16.582233,1.792394
2024-12-25,1064.6224,18.951796,35.997234,44.287403,17.500591,1.6835853
2024-12-26,1038.1835,17.93973,32.538166,44.920742,18.220724,1.5817245
2024-12-27,954.5918,18.111376,31.095947,44.705963,15.339027,1.5960695
2024-12-28,956.7016,13.491951,30.403904,46.762466,13.233464,1.8323052
2024-12-29,1021.5943,13.284327,29.74419,43.604664,14.877764,1.9199275
2024-12-30,1033.3973,14.658072,24.452507,46.85321,14.786475,3.721671
2024-12-31,1135.1711,12.920096,28.171846,49.55966,15.645382,2.365412
