name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Debrecen,2020-10-16,15.7,8.5,12.3,15.7,7.9,12.3,11,91.9,7.185,100,12.5,rain,0,0,36.4,18.6,234.7,1011,83.8,9.5,87.5,7.6,4,,2020-10-16T06:54:00,2020-10-16T17:43:14,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-17,10.2,5.1,8,10.2,3.2,5.9,7,93.6,0.26,100,16.67,rain,0,0,33.8,21.3,207.1,1013.4,86.6,8.6,35.5,3,2,,2020-10-17T06:55:28,2020-10-17T17:41:22,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-18,9,4.1,6.8,8.6,2,5.2,5.6,92.8,1.012,100,12.5,rain,0,0,23,14.4,214.8,1019.4,76.6,8.2,46.3,3.9,2,,2020-10-18T06:56:55,2020-10-18T17:39:32,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-19,13.6,3.4,7.7,13.6,1.5,6.7,4.8,84.3,0,0,0,,0,0,24.1,14.3,190.8,1025.8,62.5,9.8,114.9,9.7,5,,2020-10-19T06:58:23,2020-10-19T17:37:42,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-20,15.3,4.2,8.8,15.3,4.2,8.5,5,79.5,0,0,0,,0,0,19.1,10.8,114.7,1027.8,30.2,9.1,118.3,10.3,5,,2020-10-20T06:59:51,2020-10-20T17:35:54,0.12,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-21,16.4,3.3,9.1,16.4,1.3,8.7,5.1,78,0,0,0,,0,0,36.7,25.3,161,1024,32.9,8.9,119,10.2,4,,2020-10-21T07:01:19,2020-10-21T17:34:06,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-22,18.8,4.2,10.8,18.8,2.3,10.1,6.4,77.3,0,0,0,,0,0,22.7,11,121.3,1022.1,0.9,8,125.1,10.8,5,,2020-10-22T07:02:48,2020-10-22T17:32:20,0.19,Clear,Clear conditions throughout the day.,clear-day,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-23,19,6.4,12.2,19,5,11.9,8.7,80.8,0,0,0,,0,0,33.5,20,180,1018.8,38.6,8.7,102.6,8.9,4,,2020-10-23T07:04:16,2020-10-23T17:30:34,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-24,16.1,10.6,13.5,16.1,10.6,13.5,11.2,86.1,0,0,0,,0,0,21.6,10.9,157.9,1016.1,83,7.8,47.5,4.2,2,,2020-10-24T07:05:46,2020-10-24T17:28:50,0.26,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-25,15,12.3,13.6,15,12.3,13.6,12.7,94.4,2.206,100,37.5,rain,0,0,22.3,16.8,114.5,1014.2,92.6,5.3,18.4,1.5,1,,2020-10-25T06:07:15,2020-10-25T16:27:07,0.29,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-26,15.1,11.7,13.3,15.1,11.7,13.3,12,91.9,0.014,100,8.33,rain,0,0,31.3,15.6,170.1,1013.3,59.3,5.6,55.9,4.9,2,,2020-10-26T06:08:45,2020-10-26T16:25:25,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-27,19.6,8.7,13.2,19.6,7.6,13,9.6,80.2,0,0,0,,0,0,18.7,9.6,98,1013.8,7.1,9.5,114,9.9,5,,2020-10-27T06:10:15,2020-10-27T16:23:45,0.36,Clear,Clear conditions throughout the day.,clear-day,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-28,18.1,5.3,10.7,18.1,3.8,10.4,8.7,89.2,0,0,0,,0,0,15.5,8.6,30.7,1016.7,40.6,6.4,97.3,8.4,4,,2020-10-28T06:11:45,2020-10-28T16:22:06,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-29,13.6,5.9,9.7,13.6,4.5,9.3,9.2,96.6,0.492,100,8.33,rain,0,0,28.1,14.3,208.4,1018.1,85.9,4.6,63.9,5.4,3,,2020-10-29T06:13:15,2020-10-29T16:20:28,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-30,12.2,7.2,9.5,12.2,5.9,8.7,7.2,86.3,2.99,100,8.33,rain,0,0,26.6,17.7,240.2,1021.2,65.9,9.1,90.7,7.9,4,,2020-10-30T06:14:45,2020-10-30T16:18:51,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-10-31,12.8,7.4,10.3,12.8,4.4,9.5,7.5,83.6,2.588,100,29.17,rain,0,0,43.2,24.8,346.3,1020.2,59,8.5,65.8,5.7,4,,2020-10-31T06:16:16,2020-10-31T16:17:16,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LHDC,LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-11-01,12.8,-0.5,6.7,12.8,-0.5,6.2,3.7,82.8,0,0,0,,0,0,17.3,10.7,204.2,1023.7,30.5,9.2,100.3,8.8,4,,2020-11-01T06:17:47,2020-11-01T16:15:43,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-11-02,10.7,7.2,8.9,10.7,5.1,7.9,8.5,97.4,2.253,100,45.83,rain,0,0,22,14.4,181.8,1021.9,97.7,6.3,12.6,1,1,,2020-11-02T06:19:18,2020-11-02T16:14:11,0.56,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-11-03,12.8,10,11.4,12.8,10,11.4,10.8,95.9,6.044,100,29.17,rain,0,0.1,13.3,7.2,34.7,1022.1,96,6,42.1,3.6,2,,2020-11-03T06:20:49,2020-11-03T16:12:41,0.6,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"LHDC,LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-11-04,13.1,10.1,11.7,13.1,10.1,11.7,10.8,94.2,0.003,100,4.17,rain,0,0,23.8,14.1,46.1,1024.6,97.3,3.1,45.9,4,2,,2020-11-04T06:22:20,2020-11-04T16:11:12,0.63,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"LHDC,LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-11-05,11.9,8.1,9.9,11.9,5.3,8.5,6.9,82.1,1.542,100,25,rain,0,0,35.6,24.7,16.4,1031.1,97.6,6.6,13.5,1.1,1,,2020-11-05T06:23:51,2020-11-05T16:09:45,0.67,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-11-06,12.1,2,7.6,12.1,0.3,6.5,3.5,77.7,0,0,0,,0,0,27.4,17.7,333.7,1033.6,61.9,8.8,90.8,7.8,4,,2020-11-06T06:25:22,2020-11-06T16:08:20,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LROD,LHDC,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-11-07,13.1,2.4,6.6,13.1,0.7,6.4,5.2,92.2,0,0,0,,0,0,11.9,7.1,312.4,1033.4,44.5,5.7,75.1,6.5,3,,2020-11-07T06:26:53,2020-11-07T16:06:56,0.73,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LHDC,LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
Debrecen,2020-11-08,12.3,1.1,5.1,12.3,0,4.8,4.5,96.6,0,0,0,,0,0,12.2,8.5,345.6,1029.1,56.5,3.6,65.7,5.6,3,,2020-11-08T06:28:24,2020-11-08T16:05:34,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"LHDC,LROD,15042099999,12882099999,12866099999,12892099999,15080099999"
