Date,CO,NO2,NOx,O3,PM10,PM2.5,SO2
2021-08-14 00:00:00,284,8.5,17.8,"102,2",23.0,10,2.6
2021-08-15 00:00:00,322,9.9,16.8,"92,1",24.0,12,2.5
2021-08-16 00:00:00,322,10.4,16.2,"111,8",19.0,14,3.3
2021-08-17 00:00:00,289,11.1,17.5,"72,1",15.0,9,2.3
2021-08-18 00:00:00,261,13.9,23.8,"58,3",15.0,6,2.3
2021-08-19 00:00:00,279,15.1,28.0,"61,0",16.0,8,2.4
2021-08-20 00:00:00,277,13.1,22.7,"70,7",15.0,8,2.2
2021-08-21 00:00:00,320,23.9,40.1,"61,9",19.0,8,2.4
2021-08-22 00:00:00,325,9.7,18.3,"76,5",17.0,10,2.3
2021-08-23 00:00:00,371,10.3,18.8,"78,3",21.0,10,2.5
2021-08-24 00:00:00,323,5.6,12.0,"67,6",12.0,9,2.2
2021-08-25 00:00:00,313,14.4,22.6,"52,7",12.0,6,2.3
2021-08-26 00:00:00,300,8.6,16.2,"72,7",15.0,8,2.3
2021-08-27 00:00:00,341,15.6,23.5,"46,4",15.0,9,2.2
2021-08-28 00:00:00,301,11.3,23.1,"52,3",13.0,6,2.1
2021-08-29 00:00:00,297,7.9,16.0,"54,7",12.0,7,2.2
2021-08-30 00:00:00,339,11.4,19.7,"43,8",13.0,8,2.1
2021-08-31 00:00:00,298,9.5,17.8,"50,8",14.0,9,2.2
2021-09-01 00:00:00,307,7.6,14.1,"54,4",11.0,6,2.1
2021-09-02 00:00:00,395,23.5,49.4,"41,2",17.0,11,2.6
2021-09-03 00:00:00,360,17.4,33.9,"47,1",18.0,9,2.6
2021-09-04 00:00:00,363,16.3,21.9,"63,0",20.0,10,2.4
2021-09-05 00:00:00,296,7.8,10.7,"65,8",10.0,10,2.3
2021-09-06 00:00:00,337,28.3,56.1,"51,8",18.0,8,2.7
2021-09-07 00:00:00,353,17.1,24.8,"65,9",21.0,11,2.7
2021-09-08 00:00:00,338,18.9,22.9,"69,6",19.0,11,2.5
2021-09-09 00:00:00,373,28.0,35.2,"67,2",25.0,12,2.5
2021-09-10 00:00:00,381,23.0,30.4,"67,3",25.0,12,2.7
2021-09-11 00:00:00,406,28.4,37.2,"68,0",23.0,11,2.7
2021-09-12 00:00:00,450,32.2,58.9,"56,6",24.0,15,3.0
2021-09-13 00:00:00,426,,,"65,1",30.0,,2.8
2021-09-14 00:00:00,389,,,"67,0",21.0,,2.5
2021-09-15 00:00:00,406,,,"75,8",30.0,,2.5
2021-09-16 00:00:00,346,,,"79,6",33.0,,5.1
2021-09-17 00:00:00,339,,,"59,4",23.0,,2.4
2021-09-18 00:00:00,314,,,"54,6",9.0,,2.5
2021-09-19 00:00:00,316,,,"39,2",9.0,,2.4
2021-09-20 00:00:00,263,34.6,53.7,"50,1",11.0,,2.4
2021-09-21 00:00:00,253,20.3,33.0,"46,0",15.0,,2.7
2021-09-22 00:00:00,265,16.8,24.2,"44,4",13.0,11,2.5
2021-09-23 00:00:00,265,13.3,18.5,"55,0",15.0,7,2.7
2021-09-24 00:00:00,330,15.2,21.3,"51,2",22.0,9,2.7
2021-09-25 00:00:00,416,18.6,28.6,"44,4",26.0,14,2.8
2021-09-26 00:00:00,341,11.1,19.9,"66,6",19.0,12,2.6
2021-09-27 00:00:00,409,22.2,54.3,"43,9",20.0,11,2.7
2021-09-28 00:00:00,334,19.4,34.7,"34,7",21.0,13,2.7
2021-09-29 00:00:00,363,12.6,24.9,"21,6",17.0,12,2.5
2021-09-30 00:00:00,365,13.9,22.0,"26,4",13.0,9,2.5
2021-10-01 00:00:00,403,19.0,37.2,"19,0",13.0,10,2.6
2021-10-02 00:00:00,437,19.2,32.9,"28,9",19.0,13,2.7
2021-10-03 00:00:00,373,14.3,19.6,"48,4",22.0,15,3.0
2021-10-04 00:00:00,365,19.0,25.7,"52,4",26.0,13,3.4
2021-10-05 00:00:00,360,15.0,24.6,"57,5",26.0,14,3.1
2021-10-06 00:00:00,366,21.2,27.4,"44,4",27.0,14,2.7
2021-10-07 00:00:00,280,7.4,11.9,"57,6",21.0,12,2.5
2021-10-08 00:00:00,307,14.9,23.9,"58,0",29.0,13,3.0
2021-10-09 00:00:00,335,34.1,93.7,"42,5",28.0,14,3.7
2021-10-10 00:00:00,346,25.9,61.9,"51,5",26.0,15,4.0
2021-10-11 00:00:00,456,31.2,75.6,"27,4",26.0,16,3.2
2021-10-12 00:00:00,684,26.7,52.8,"27,5",31.0,25,3.7
2021-10-13 00:00:00,528,18.2,48.7,"25,5",23.0,25,3.2
2021-10-14 00:00:00,656,18.3,43.0,"24,0",19.0,14,3.0
2021-10-15 00:00:00,616,25.5,61.8,"32,6",19.0,22,2.9
2021-10-16 00:00:00,468,30.4,58.2,"46,2",14.0,13,3.0
2021-10-17 00:00:00,814,30.3,77.1,"35,5",29.0,17,3.5
2021-10-18 00:00:00,727,30.5,88.4,"20,1",36.0,34,3.4
2021-10-19 00:00:00,659,27.2,85.0,"28,7",38.0,29,3.4
2021-10-20 00:00:00,420,22.2,52.4,"42,5",26.0,22,5.0
2021-10-21 00:00:00,242,7.6,21.7,"63,6",26.0,12,4.2
2021-10-22 00:00:00,273,17.3,36.9,"42,4",12.0,8,2.8
2021-10-23 00:00:00,222,12.6,32.2,"44,3",9.0,9,2.7
2021-10-24 00:00:00,571,32.8,98.6,"26,5",27.0,17,3.3
2021-10-25 00:00:00,567,33.5,75.1,"27,5",25.0,24,3.4
2021-10-26 00:00:00,643,43.9,122.4,"23,7",38.0,26,3.6
2021-10-27 00:00:00,1091,47.0,179.5,"24,1",61.0,45,4.7
2021-10-28 00:00:00,903,44.8,130.8,"31,1",52.0,52,4.3
2021-10-29 00:00:00,710,49.8,110.0,"34,0",49.0,38,3.7
2021-10-30 00:00:00,850,50.4,118.3,"33,2",55.0,46,4.3
2021-10-31 00:00:00,959,40.9,134.6,"29,1",51.0,46,4.2
2021-11-01 00:00:00,641,22.8,50.7,"42,6",39.0,45,4.0
2021-11-02 00:00:00,473,22.5,42.8,"30,1",26.0,28,3.0
2021-11-03 00:00:00,476,12.7,15.8,"38,1",14.0,22,2.9
2021-11-04 00:00:00,372,16.3,23.0,"34,7",14.0,13,3.1
2021-11-05 00:00:00,374,24.2,44.4,"11,0",14.0,10,2.8
2021-11-06 00:00:00,565,26.9,67.6,"27,2",24.0,15,3.2
2021-11-07 00:00:00,406,10.2,14.4,"23,2",17.0,23,3.4
2021-11-08 00:00:00,520,19.7,47.1,"12,2",23.0,28,3.1
2021-11-09 00:00:00,822,31.5,120.5,"10,2",31.0,26,3.8
2021-11-10 00:00:00,678,27.2,63.3,"11,3",28.0,29,3.5
2021-11-11 00:00:00,766,35.4,92.3,"13,6",32.0,30,3.7
2021-11-12 00:00:00,834,45.9,97.6,"14,4",40.0,35,3.5
2021-11-13 00:00:00,835,23.6,45.6,"6,4",33.0,41,3.1
2021-11-14 00:00:00,947,30.7,46.1,"9,7",46.0,49,4.3
2021-11-15 00:00:00,1198,36.0,119.1,"20,0",59.0,59,4.2
2021-11-16 00:00:00,1153,34.3,143.2,"17,0",48.0,48,4.4
2021-11-17 00:00:00,1353,45.0,179.3,"11,5",54.0,57,4.6
2021-11-18 00:00:00,1135,26.4,93.1,"1,9",52.0,65,3.9
2021-11-19 00:00:00,524,13.6,20.5,"12,0",11.0,22,2.8
2021-11-20 00:00:00,526,10.6,16.1,"15,8",10.0,18,2.7
2021-11-21 00:00:00,568,13.9,19.3,"23,4",13.0,16,2.8
2021-11-22 00:00:00,564,20.7,40.5,"20,0",13.0,19,3.0
2021-11-23 00:00:00,990,23.4,86.5,"31,6",34.0,21,4.3
2021-11-24 00:00:00,1332,32.0,134.3,"13,1",52.0,78,4.6
