Date,Station1_CO,Station1_NO2,Station1_NOx,Station1_PM10,Station1_SO2,Station2_CO,Station2_NO2,Station2_NOx,Station2_O3,Station2_PM10,Station2_SO2,Year,Month,Day,WeekDay,Season
2014-06-01,221.0,9.9,15.9,10.0,3.6,467.0,9.6,13.2,66.1,9.0,5.2,2014,6,1,Sunday,Summer
2014-06-02,263.0,20.9,31.4,12.0,3.7,452.0,11.5,14.6,63.2,9.0,4.5,2014,6,2,Monday,Summer
2014-06-03,317.0,30.5,54.9,17.0,4.0,612.0,11.7,15.2,70.5,11.0,3.8,2014,6,3,Tuesday,Summer
2014-06-04,293.0,34.0,51.0,17.0,3.8,672.0,20.3,28.2,74.8,14.0,4.2,2014,6,4,Wednesday,Summer
2014-06-05,370.0,42.9,83.6,27.0,4.1,570.0,28.5,38.3,,20.0,4.9,2014,6,5,Thursday,Summer
2014-06-06,276.0,31.3,42.9,22.0,3.9,500.0,17.3,21.1,84.8,21.0,4.4,2014,6,6,Friday,Summer
2014-06-07,256.0,17.8,24.4,22.0,3.8,559.0,13.4,16.3,94.8,19.0,5.3,2014,6,7,Saturday,Summer
2014-06-08,261.0,13.2,19.3,20.0,3.6,586.0,14.7,17.4,79.3,20.0,5.2,2014,6,8,Sunday,Summer
2014-06-09,264.0,16.3,22.7,24.0,3.8,645.0,19.7,23.8,70.3,21.0,5.2,2014,6,9,Monday,Summer
2014-06-10,364.0,28.0,66.6,37.0,4.9,737.0,21.1,28.8,84.7,26.0,5.8,2014,6,10,Tuesday,Summer
2014-06-11,275.0,19.6,27.3,23.0,2.7,668.0,15.6,17.8,98.6,19.0,5.7,2014,6,11,Wednesday,Summer
2014-06-12,274.0,20.0,27.9,20.0,2.7,340.2,15.279999999999998,16.88,,20.2,3.84,2014,6,12,Thursday,Summer
2014-06-13,288.0,18.9,26.5,23.0,2.6,396.2,8.8,9.5,96.0,18.0,3.7600000000000002,2014,6,13,Friday,Summer
2014-06-14,280.0,13.6,21.1,15.0,2.8,297.0,15.7,17.0,70.2,14.0,3.6399999999999997,2014,6,14,Saturday,Summer
2014-06-15,266.0,9.4,15.7,13.0,2.8,237.6,10.1,11.3,66.4,13.0,3.6399999999999997,2014,6,15,Sunday,Summer
2014-06-16,253.0,17.4,28.5,15.0,2.8,370.4,10.4,11.8,64.1,14.0,3.6399999999999997,2014,6,16,Monday,Summer
2014-06-17,266.0,24.9,36.2,20.0,2.8,237.6,18.4,20.0,65.9,20.0,3.6399999999999997,2014,6,17,Tuesday,Summer
2014-06-18,267.0,21.3,30.5,20.0,3.0,281.2,25.2,31.1,66.9,18.0,3.62,2014,6,18,Wednesday,Summer
2014-06-19,286.0,22.2,31.9,20.0,3.0,344.0,18.3,21.2,72.4,20.0,5.5,2014,6,19,Thursday,Summer
2014-06-20,293.0,23.4,39.5,22.0,2.9,333.0,13.8,15.4,58.6,20.0,5.0,2014,6,20,Friday,Summer
2014-06-21,272.0,13.5,21.3,12.0,3.0,264.0,10.5,11.5,57.1,14.0,4.7,2014,6,21,Saturday,Summer
2014-06-22,301.0,18.1,31.4,14.0,3.1,238.0,11.6,12.2,59.2,14.0,3.9,2014,6,22,Sunday,Summer
2014-06-23,396.0,35.1,64.5,20.0,3.2,227.0,17.4,19.3,71.1,16.0,3.6,2014,6,23,Monday,Summer
2014-06-24,391.0,32.6,52.3,16.0,3.4,273.0,23.4,26.6,57.8,18.0,2.8,2014,6,24,Tuesday,Summer
2014-06-25,437.0,33.8,62.6,19.0,3.2,268.0,20.0,25.7,54.0,15.0,2.3,2014,6,25,Wednesday,Summer
2014-06-26,355.0,23.4,39.4,15.0,3.2,242.0,13.8,15.7,61.1,12.0,4.2,2014,6,26,Thursday,Summer
2014-06-27,313.0,20.8,31.7,11.0,3.5,257.0,30.5,45.7,55.9,10.0,5.5,2014,6,27,Friday,Summer
2014-06-28,367.0,31.3,52.3,17.0,3.5,268.0,17.4,19.1,65.2,16.0,4.8,2014,6,28,Saturday,Summer
2014-06-29,303.0,21.0,29.9,23.0,2.9,270.0,6.9,7.6,88.9,23.0,7.3,2014,6,29,Sunday,Summer
2014-06-30,371.0,35.2,55.1,25.0,3.1,301.0,9.2,10.0,73.7,22.0,5.8,2014,6,30,Monday,Summer
2014-07-01,307.0,20.0,31.5,11.0,3.4,346.0,9.4,10.9,64.4,9.0,3.3,2014,7,1,Tuesday,Summer
2014-07-02,343.0,31.1,48.8,16.0,3.5,337.0,14.1,16.5,72.3,13.0,3.3,2014,7,2,Wednesday,Summer
2014-07-03,319.0,21.7,31.5,12.0,3.7,347.0,20.5,24.3,68.1,11.0,2.9,2014,7,3,Thursday,Summer
2014-07-04,367.0,32.8,49.5,19.0,3.6,300.0,24.6,32.2,66.4,16.0,3.4,2014,7,4,Friday,Summer
2014-07-05,357.0,25.2,35.3,18.0,3.7,205.0,17.7,19.2,74.9,17.0,4.8,2014,7,5,Saturday,Summer
2014-07-06,384.0,26.9,43.2,23.0,3.8,214.0,14.9,16.1,77.1,21.0,3.9,2014,7,6,Sunday,Summer
2014-07-07,401.0,33.8,49.2,29.0,3.6,230.0,26.9,29.1,76.8,26.0,3.6,2014,7,7,Monday,Summer
2014-07-08,412.0,35.2,52.3,30.0,3.5,235.0,13.4,14.5,71.3,26.0,4.0,2014,7,8,Tuesday,Summer
2014-07-09,405.0,27.2,50.5,19.0,3.5,246.0,11.9,13.2,55.7,14.0,2.8,2014,7,9,Wednesday,Summer
2014-07-10,401.0,29.5,52.2,16.0,3.4,240.0,11.1,12.1,64.9,11.0,3.0,2014,7,10,Thursday,Summer
2014-07-11,409.0,25.8,49.6,13.0,3.2,263.0,14.1,16.0,47.1,9.0,2.5,2014,7,11,Friday,Summer
2014-07-12,401.0,20.6,34.9,10.0,3.7,261.0,9.4,10.3,49.0,9.0,2.5,2014,7,12,Saturday,Summer
2014-07-13,428.0,24.5,39.1,16.0,3.7,259.0,9.8,10.7,61.4,15.0,2.4,2014,7,13,Sunday,Summer
2014-07-14,451.0,33.6,56.7,23.0,3.7,270.0,15.9,17.6,64.0,18.0,2.3,2014,7,14,Monday,Summer
2014-07-15,426.0,25.4,37.2,21.0,3.8,279.0,15.8,18.2,65.2,19.0,2.3,2014,7,15,Tuesday,Summer
2014-07-16,424.0,23.5,32.2,24.0,3.8,289.0,15.6,17.3,83.7,23.0,3.2,2014,7,16,Wednesday,Summer
2014-07-17,416.0,19.8,29.0,22.0,3.8,296.0,15.7,17.5,73.9,21.0,3.1,2014,7,17,Thursday,Summer
2014-07-18,432.0,20.9,30.6,22.0,4.1,308.0,12.9,14.5,68.5,20.0,2.9,2014,7,18,Friday,Summer
